Symbol,Structure,Expense Ratio,Dividend,Div Yield,Market Cap (millions),Shares (millions),Avg Vol,Beta,,,,,,,,,,,,,
HYS,ETF,0.55%,$0.43,4.43%,"$3,614.40 ",34.1," 231,836 ", 0.23 ,,,,,,,,,,,,,
IJJ,ETF,0.25%,$0.52,1.48%,"$3,550.20 ",30.7," 111,673 ", 1.15 ,,,,,,,,,,,,,
BOND,ETF,0.55%,$0.19,2.44%,"$3,529.50 ",33.7," 357,161 ", (0.38),,,,,,,,,,,,,
FLOT,ETF,0.20%,$0.02,0.51%,"$3,510.00 ",69.3," 957,086 ", 0.08 ,,,,,,,,,,,,,
EMB,ETF,0.60%,$0.41,4.75%,"$3,448.60 ",32," 601,891 ", (0.73),,,,,,,,,,,,,
IEMG,ETF,0.18%,$0.46,1.81%,"$3,270.90 ",67," 1,117,855 ", (1.72),,,,,,,,,,,,,
HDV,ETF,0.40%,$0.58,3.18%,"$3,247.00 ",46.3," 307,028 ", 0.89 ,,,,,,,,,,,,,
EPP,ETF,0.50%,$0.88,3.95%,"$3,217.60 ",69.6," 710,128 ", (1.24),,,,,,,,,,,,,
IDV,ETF,0.50%,$0.18,4.52%,"$3,175.70 ",84.6," 607,344 ", (1.08),,,,,,,,,,,,,
VCIT,ETF,0.12%,$0.22,3.82%,"$3,170.70 ",38.4," 304,123 ", (0.54),,,,,,,,,,,,,
IJS,ETF,0.25%,$0.45,1.18%,"$3,095.50 ",27.8," 107,169 ", 1.31 ,,,,,,,,,,,,,
SCZ,ETF,0.40%,$0.65,2.43%,"$3,093.60 ",61.6," 453,150 ", 1.04 ,,,,,,,,,,,,,
VXF,ETF,0.14%,$0.92,1.14%,"$3,073.70 ",37.3," 236,766 ", 1.23 ,,,,,,,,,,,,,
VT,ETF,0.19%,$0.25,2.38%,"$3,027.90 ",51.5," 309,211 ", 0.99 ,,,,,,,,,,,,,
SJNK,ETF,0.40%,$0.13,5.47%,"$3,027.10 ",98.7," 1,011,389 ", 0.23 ,,,,,,,,,,,,,
