Symbol,Structure,Expense Ratio,Dividend,Div Yield,Market Cap (millions),Shares (millions),Avg Vol,Beta,,,,,,,,,,,,,
HYMB,ETF,0.45%,$0.23,5.26%,$175.70 ,3.4," 63,611 ", (0.69),,,,,,,,,,,,,
QTEC,ETF,0.60%,$0.08,0.73%,$175.70 ,5," 23,888 ", 1.15 ,,,,,,,,,,,,,
EBND,ETF,0.50%,$0.13,4.93%,$173.90 ,5.9," 79,229 ", (0.93),,,,,,,,,,,,,
WPS,ETF,0.48%,$0.51,4.23%,$171.60 ,4.7," 17,570 ", (1.20),,,,,,,,,,,,,
IBCC,ETF,0.10%,$0.11,0.75%,$170.60 ,1.8," 1,743 ", (0.40),,,,,,,,,,,,,
CEW,ETF,0.55%,$1.05,4.99%,$170.30 ,8.5," 43,728 ", (0.96),,,,,,,,,,,,,
KOL,ETF,0.59%,$0.44,2.26%,$169.10 ,8.7," 111,713 ", (1.62),,,,,,,,,,,,,
RWK,ETF,0.54%,$0.07,0.83%,$166.30 ,3.8," 14,350 ", 1.19 ,,,,,,,,,,,,,
ELV,ETF,0.20%,$0.43,2.46%,$166.20 ,2.6,, -   ,,,,,,,,,,,,,
PICB,ETF,0.50%,$0.07,2.75%,$165.50 ,5.7," 39,202 ", 0.53 ,,,,,,,,,,,,,
IAK,ETF,0.48%,$0.16,1.14%,$165.00 ,3.5," 25,425 ", 1.35 ,,,,,,,,,,,,,
JKI,ETF,0.30%,$0.69,1.88%,$164.80 ,1.5," 7,716 ", 1.08 ,,,,,,,,,,,,,
SKYY,ETF,0.60%,$0.00,0.01%,$163.60 ,6.2," 54,206 ", 1.51 ,,,,,,,,,,,,,
UCI,ETN,0.65%,,,$162.90 ,8," 51,344 ", 0.72 ,,,,,,,,,,,,,
ERX,ETF,0.95%,$0.05,0.07%,$161.10 ,1.8," 304,888 ", 3.55 ,,,,,,,,,,,,,
BSJH,ETF,0.42%,$0.08,4.11%,$156.40 ,5.8," 67,458 ", 0.21 ,,,,,,,,,,,,,
KBWB,ETF,0.35%,$0.19,1.68%,$155.80 ,4.4," 113,989 ", 1.56 ,,,,,,,,,,,,,
RCD,ETF,0.50%,$0.22,1.32%,$155.30 ,2," 23,806 ", 1.21 ,,,,,,,,,,,,,
DGP,ETN,0.75%,,,$155.10 ,6.1," 219,136 ", (3.83),,,,,,,,,,,,,
DSUM,ETF,0.46%,$0.07,3.25%,$153.00 ,6.1," 74,989 ", 0.18 ,,,,,,,,,,,,,
RZV,ETF,0.35%,$0.08,1.14%,$152.20 ,2.5," 21,044 ", 1.31 ,,,,,,,,,,,,,
BDCL,ETN,0.85%,$1.00,13.77%,$151.30 ,5.1," 68,155 ", 2.24 ,,,,,,,,,,,,,
ESR,ETF,0.68%,$0.18,1.25%,$150.90 ,5.8," 35,084 ", (1.55),,,,,,,,,,,,,
PIV,ETF,0.50%,$0.06,1.64%,$150.80 ,10.1," 81,898 ", 0.93 ,,,,,,,,,,,,,
RIGS,ETF,0.22%,$0.03,0.12%,$150.50 ,6.1,, 0.34 ,,,,,,,,,,,,,
BSJI,ETF,0.42%,$0.10,4.84%,$150.20 ,5.6," 44,150 ", 0.33 ,,,,,,,,,,,,,
IDLV,ETF,0.25%,$0.31,3.61%,$150.20 ,4.8," 44,056 ", 1.10 ,,,,,,,,,,,,,
WDTI,ETF,0.95%,,,$149.00 ,3.6," 21,766 ", 0.48 ,,,,,,,,,,,,,
UCO,Commodity Pool,0.95%,,,$148.20 ,4.4," 1,337,058 ", 2.85 ,,,,,,,,,,,,,
FDT,ETF,0.80%,$0.31,2.47%,$146.70 ,2.9," 24,131 ", 1.07 ,,,,,,,,,,,,,
DGL,Commodity Pool,0.79%,$0.81,,$146.60 ,3.6," 31,791 ", (1.94),,,,,,,,,,,,,
DIG,ETF,0.95%,$0.04,0.44%,$146.00 ,2.1," 61,170 ", 2.42 ,,,,,,,,,,,,,
MDYG,ETF,0.25%,$0.20,1.13%,$144.40 ,1.3," 22,431 ", 1.23 ,,,,,,,,,,,,,
PLW,ETF,0.25%,$0.06,2.43%,$143.90 ,4.9," 11,330 ", (0.71),,,,,,,,,,,,,
RYH,ETF,0.50%,$0.15,0.61%,$143.00 ,1.3," 25,398 ", 1.17 ,,,,,,,,,,,,,
TYH,ETF,0.95%,$0.01,,$142.50 ,3.1," 622,614 ", 3.67 ,,,,,,,,,,,,,
PSQ,ETF,0.95%,$4.26,,$140.30 ,7.7," 390,538 ", (1.09),,,,,,,,,,,,,
VOOV,ETF,0.15%,$0.43,1.95%,$139.00 ,1.7," 8,405 ", 0.92 ,,,,,,,,,,,,,
PICK,ETF,0.39%,$0.45,3.45%,$138.60 ,7.1," 129,897 ", (1.81),,,,,,,,,,,,,
ROM,ETF,0.95%,$0.03,0.03%,$138.60 ,1.3," 13,328 ", 2.22 ,,,,,,,,,,,,,
SCJ,ETF,0.53%,$0.77,1.89%,$138.60 ,2.6," 20,734 ", 1.52 ,,,,,,,,,,,,,
JKK,ETF,0.30%,$0.22,0.53%,$138.50 ,1.1," 6,589 ", 1.51 ,,,,,,,,,,,,,
AOK,ETF,0.30%,$0.03,1.78%,$137.40 ,4.3," 27,097 ", 0.41 ,,,,,,,,,,,,,
GLL,Commodity Pool,0.95%,,,$137.20 ,1.3," 183,089 ", 3.67 ,,,,,,,,,,,,,
GBF,ETF,0.20%,$0.20,2.42%,$137.10 ,1.3," 16,556 ", (0.45),,,,,,,,,,,,,
DIM,ETF,0.58%,$0.34,3.25%,$136.90 ,2.4," 7,166 ", 1.12 ,,,,,,,,,,,,,
NKY,ETF,0.50%,$0.21,1.78%,$136.90 ,7.5," 467,536 ", 1.89 ,,,,,,,,,,,,,
ENZL,ETF,0.51%,$0.76,3.95%,$136.40 ,3.7," 29,691 ", (1.44),,,,,,,,,,,,,
TECL,ETF,0.95%,$0.84,,$135.00 ,1.5," 79,694 ", 2.91 ,,,,,,,,,,,,,
UGL,Commodity Pool,0.95%,,,$134.20 ,3.2," 94,602 ", (3.73),,,,,,,,,,,,,
HDGE,ETF,1.85%,,,$133.90 ,10.4," 207,344 ", (1.26),,,,,,,,,,,,,
TTH,Grantor Trust,,$0.00,4.38%,$132.90 ,4.6," 26,694 ", 0.65 ,,,,,,,,,,,,,
EMIF,ETF,0.75%,$0.45,2.92%,$132.70 ,4," 12,594 ", 1.57 ,,,,,,,,,,,,,
URA,ETF,0.69%,$0.12,0.83%,$132.40 ,8.9," 82,622 ", 1.95 ,,,,,,,,,,,,,
DEF,ETF,0.60%,$0.75,2.19%,$131.10 ,3.9," 24,481 ", (1.03),,,,,,,,,,,,,
IHY,ETF,0.40%,$0.16,6.39%,$130.00 ,4.8," 185,284 ", 0.41 ,,,,,,,,,,,,,
DRW,ETF,0.58%,$0.26,10.68%,$129.00 ,4.8," 18,381 ", (1.29),,,,,,,,,,,,,
PRN,ETF,0.60%,$0.06,1.02%,$128.60 ,2.7," 28,067 ", 1.34 ,,,,,,,,,,,,,
DRN,ETF,0.95%,$0.01,0.02%,$127.80 ,3.4," 179,197 ", (4.13),,,,,,,,,,,,,
JPP,ETF,0.50%,$0.39,1.95%,$127.70 ,2.8," 10,061 ", 1.45 ,,,,,,,,,,,,,
VLUE,ETF,0.15%,$0.30,1.33%,$127.70 ,2.2," 3,012 ", 0.98 ,,,,,,,,,,,,,
SNLN,ETF,0.55%,$0.08,5.02%,$127.60 ,6.4," 34,803 ", 0.24 ,,,,,,,,,,,,,
VIOO,ETF,0.17%,$0.84,1.90%,$127.50 ,1.3," 11,342 ", 1.36 ,,,,,,,,,,,,,
GREK,ETF,0.69%,$0.04,0.17%,$126.50 ,5.7," 128,594 ", 2.84 ,,,,,,,,,,,,,
USLV,ETN,1.65%,,,$126.50 ,2.5," 221,605 ", (8.79),,,,,,,,,,,,,
SLX,ETF,0.55%,$0.98,1.99%,$126.40 ,2.6," 79,500 ", 1.75 ,,,,,,,,,,,,,
NYF,ETF,0.25%,$0.27,3.01%,$126.10 ,1.2," 9,144 ", (0.31),,,,,,,,,,,,,
URTH,ETF,0.24%,$0.38,1.06%,$124.80 ,1.8," 32,827 ", 1.70 ,,,,,,,,,,,,,
PFXF,ETF,0.40%,$0.10,6.48%,$124.30 ,6.6," 39,781 ", (0.58),,,,,,,,,,,,,
SOCL,ETF,0.65%,$0.11,0.52%,$124.10 ,5.9," 242,497 ", 2.88 ,,,,,,,,,,,,,
EIRL,ETF,0.52%,$0.33,1.68%,$123.40 ,3.5," 31,448 ", 1.27 ,,,,,,,,,,,,,
KCE,ETF,0.35%,$0.21,3.06%,$122.40 ,2.5," 29,159 ", 1.63 ,,,,,,,,,,,,,
TUZ,ETF,0.09%,$0.01,0.29%,$122.10 ,2.4," 36,252 ", (0.06),,,,,,,,,,,,,
SIZE,ETF,0.15%,$0.32,1.41%,$120.50 ,2.1, 594 , 1.38 ,,,,,,,,,,,,,
DEW,ETF,0.58%,$0.38,3.67%,$120.20 ,2.6," 6,416 ", (1.21),,,,,,,,,,,,,
UYM,ETF,0.95%,$0.01,0.66%,$119.80 ,2.5," 64,459 ", 2.42 ,,,,,,,,,,,,,
RZG,ETF,0.35%,$0.10,0.84%,$119.50 ,1.5," 13,202 ", 1.53 ,,,,,,,,,,,,,
PSCD,ETF,0.29%,$0.08,0.43%,$119.10 ,2.5," 11,563 ", 1.38 ,,,,,,,,,,,,,
VGIT,ETF,0.12%,$0.07,2.42%,$119.10 ,1.9," 24,027 ", (0.35),,,,,,,,,,,,,
VTWG,ETF,0.20%,$0.55,0.56%,$118.00 ,1.2," 14,886 ", 1.58 ,,,,,,,,,,,,,
FAB,ETF,0.70%,$0.15,1.71%,$117.30 ,2.7," 14,738 ", 1.05 ,,,,,,,,,,,,,
HHH,Grantor Trust,,$0.00,0.41%,$117.30 ,1.7," 40,017 ", (1.20),,,,,,,,,,,,,
TTT,ETF,0.95%,,,$116.60 ,1.2," 35,506 ", 3.73 ,,,,,,,,,,,,,
EDV,ETF,0.12%,$0.59,9.47%,$114.90 ,1.3," 30,659 ", (1.84),,,,,,,,,,,,,
EQL,ETF,0.52%,$0.17,1.65%,$114.40 ,2.3," 8,805 ", 0.94 ,,,,,,,,,,,,,
CZA,ETF,0.60%,$0.42,0.92%,$112.90 ,2.5," 10,613 ", 0.93 ,,,,,,,,,,,,,
JO,ETN,0.75%,,,$112.70 ,5," 122,003 ", 3.09 ,,,,,,,,,,,,,
MUAF,ETF,0.30%,$0.05,1.27%,$112.60 ,2.1," 14,134 ", (0.17),,,,,,,,,,,,,
PHDG,ETF,0.39%,$0.29,1.85%,$112.30 ,4.1," 38,122 ", 0.86 ,,,,,,,,,,,,,
NFO,ETF,0.60%,$0.60,1.29%,$111.90 ,2.4," 24,864 ", 1.25 ,,,,,,,,,,,,,
MBG,ETF,0.20%,$0.04,2.38%,$111.60 ,4.2," 6,202 ", (0.36),,,,,,,,,,,,,
MORL,ETN,0.40%,$0.09,28.62%,$111.60 ,6," 168,530 ", 3.30 ,,,,,,,,,,,,,
EMCB,ETF,0.60%,$0.30,4.08%,$111.50 ,1.5," 10,641 ", (0.55),,,,,,,,,,,,,
UDOW,ETF,0.95%,$0.08,0.18%,$110.90 ,1," 203,116 ", 2.68 ,,,,,,,,,,,,,
GXG,ETF,0.78%,$0.45,2.50%,$110.50 ,6.1," 103,341 ", (1.70),,,,,,,,,,,,,
GSP,ETN,0.75%,,,$109.50 ,3.3," 62,311 ", 1.00 ,,,,,,,,,,,,,
SCIF,ETF,0.85%,$0.14,0.45%,$109.50 ,3.5," 68,050 ", 2.74 ,,,,,,,,,,,,,
RLY,ETF,0.70%,$0.05,2.15%,$108.60 ,3.8," 56,470 ", (0.79),,,,,,,,,,,,,
ZSL,Commodity Pool,0.95%,,,$108.30 ,1.3," 232,364 ", 5.74 ,,,,,,,,,,,,,
ILB,ETF,0.60%,$0.34,0.70%,$108.10 ,2.3," 6,048 ", (0.95),,,,,,,,,,,,,
GOVT,ETF,0.15%,$0.02,0.92%,$106.70 ,4.4," 41,013 ", (0.30),,,,,,,,,,,,,
VWOB,ETF,0.35%,$0.28,1.97%,$106.30 ,1.4," 19,631 ", (0.47),,,,,,,,,,,,,
AFK,ETF,0.78%,$0.83,2.73%,$106.20 ,3.5," 19,164 ", (1.28),,,,,,,,,,,,,
GRI,ETF,0.55%,$0.23,6.32%,$105.20 ,2.7," 13,172 ", (1.34),,,,,,,,,,,,,
PSCF,ETF,0.29%,$0.40,2.24%,$105.20 ,2.7," 7,934 ", 1.49 ,,,,,,,,,,,,,
MUAE,ETF,0.30%,$0.04,1.04%,$104.10 ,2," 12,391 ", 0.17 ,,,,,,,,,,,,,
PDN,ETF,0.49%,$0.30,3.25%,$103.50 ,3.8," 27,284 ", 1.70 ,,,,,,,,,,,,,
SDOW,ETF,0.95%,,,$103.50 ,3.4," 513,702 ", (2.83),,,,,,,,,,,,,
DGT,ETF,0.50%,$0.43,2.66%,$103.40 ,1.5," 5,781 ", 1.16 ,,,,,,,,,,,,,
TRND,ETN,1.00%,,,$103.20 ,2.9," 55,759 ", 0.99 ,,,,,,,,,,,,,
YINN,ETF,0.95%,$0.01,0.03%,$102.60 ,3.5," 136,964 ", (7.01),,,,,,,,,,,,,
DTO,ETN,0.75%,,,$102.00 ,3," 229,291 ", (2.93),,,,,,,,,,,,,
BSCC,ETF,0.24%,$0.00,0.71%,$101.20 ,5," 9,078 ", 0.13 ,,,,,,,,,,,,,
PKB,ETF,0.60%,$0.08,0.36%,$100.10 ,4.5," 31,753 ", 1.52 ,,,,,,,,,,,,,
XSD,ETF,0.35%,$0.10,0.77%,$99.60 ,1.7," 88,639 ", 1.69 ,,,,,,,,,,,,,
INKM,ETF,0.70%,$0.23,3.81%,$99.10 ,3.3," 13,581 ", (0.84),,,,,,,,,,,,,
MINC,ETF,0.75%,$0.11,1.41%,$98.80 ,2," 9,528 ", 0.27 ,,,,,,,,,,,,,
HAP,ETF,0.49%,$0.83,2.23%,$98.70 ,2.7," 13,329 ", 1.03 ,,,,,,,,,,,,,
VXZ,ETN,0.89%,,,$98.70 ,6.2," 655,100 ", (1.98),,,,,,,,,,,,,
FFR,ETF,0.60%,$0.41,5.54%,$97.40 ,2.5," 7,577 ", (1.12),,,,,,,,,,,,,
FLTR,ETF,0.19%,$0.01,0.53%,$97.30 ,3.9," 42,014 ", (0.15),,,,,,,,,,,,,
RXL,ETF,0.95%,$0.04,0.38%,$97.20 ,1.2," 11,992 ", 2.37 ,,,,,,,,,,,,,
EMM,ETF,0.25%,$0.14,1.76%,$97.00 ,1.3," 4,073 ", 1.19 ,,,,,,,,,,,,,
QCLN,ETF,0.60%,$0.01,0.41%,$96.80 ,5.5," 58,095 ", 2.43 ,,,,,,,,,,,,,
TTFS,ETF,0.99%,$0.34,0.70%,$96.30 ,2," 31,322 ", 1.02 ,,,,,,,,,,,,,
REMX,ETF,0.57%,$0.08,0.23%,$96.00 ,2.7," 19,034 ", (1.86),,,,,,,,,,,,,
SEA,ETF,0.65%,$0.11,1.96%,$95.90 ,4.5," 64,358 ", 1.66 ,,,,,,,,,,,,,
BCM,ETN,0.75%,,,$95.40 ,2.4," 48,898 ", (1.09),,,,,,,,,,,,,
MUAD,ETF,0.30%,$0.03,0.87%,$95.40 ,1.8," 10,494 ", 0.76 ,,,,,,,,,,,,,
TVIX,ETN,1.65%,,,$95.30 ,13.4," 4,038,419 ", (6.84),,,,,,,,,,,,,
JJC,ETN,0.75%,,,$94.50 ,2.3," 30,464 ", 1.32 ,,,,,,,,,,,,,
EIS,ETF,0.59%,$0.57,2.21%,$94.00 ,2," 33,817 ", 1.04 ,,,,,,,,,,,,,
PSCI,ETF,0.29%,$0.12,0.47%,$93.40 ,2.1," 14,059 ", 1.59 ,,,,,,,,,,,,,
SKF,ETF,0.95%,$0.18,,$93.00 ,5.3," 441,291 ", (2.43),,,,,,,,,,,,,
DGAZ,ETN,1.65%,,,$92.50 ,11.2," 1,402,512 ", (8.11),,,,,,,,,,,,,
HYLS,,1.19%,$0.24,5.12%,$92.40 ,1.8," 14,980 ", 0.37 ,,,,,,,,,,,,,
BSCJ,ETF,0.24%,$0.03,1.99%,$92.30 ,4.5," 23,786 ", (0.42),,,,,,,,,,,,,
EDZ,ETF,0.95%,,,$92.20 ,2.2," 427,197 ", (5.62),,,,,,,,,,,,,
FDM,ETF,0.60%,$0.11,1.78%,$91.20 ,2.8," 50,141 ", 1.54 ,,,,,,,,,,,,,
PPA,ETF,0.60%,$0.08,1.68%,$91.10 ,3," 36,091 ", 1.20 ,,,,,,,,,,,,,
GEX,ETF,0.62%,$0.55,1.00%,$90.70 ,1.6," 12,450 ", 1.83 ,,,,,,,,,,,,,
PAGG,ETF,0.75%,$0.11,1.64%,$90.70 ,3.1," 10,163 ", 1.09 ,,,,,,,,,,,,,
QQXT,ETF,0.60%,$0.05,0.27%,$90.00 ,2.6," 16,073 ", 1.13 ,,,,,,,,,,,,,
RHS,ETF,0.50%,$0.37,2.31%,$90.00 ,1," 7,750 ", 1.08 ,,,,,,,,,,,,,
EPS,ETF,0.28%,$0.25,1.67%,$89.90 ,1.4," 4,114 ", 0.91 ,,,,,,,,,,,,,
GYLD,ETF,0.75%,$0.15,6.64%,$89.80 ,3.5," 38,278 ", (0.59),,,,,,,,,,,,,
UGAZ,ETN,1.65%,,,$89.70 ,3.9," 1,789,123 ", 7.65 ,,,,,,,,,,,,,
CMBS,ETF,0.25%,$0.08,2.01%,$88.80 ,1.8," 13,917 ", (0.63),,,,,,,,,,,,,
RFV,ETF,0.35%,$0.12,1.34%,$88.40 ,1.8," 11,419 ", 1.31 ,,,,,,,,,,,,,
XVZ,ETN,0.95%,,,$88.10 ,2.6," 76,162 ", (0.91),,,,,,,,,,,,,
MORT,ETF,0.40%,$0.62,12.37%,$88.00 ,4," 67,211 ", (2.36),,,,,,,,,,,,,
LVL,ETF,0.60%,$0.21,6.46%,$87.80 ,6.7," 35,256 ", (1.25),,,,,,,,,,,,,
HILO,ETF,0.85%,$0.16,5.60%,$87.10 ,5.1," 39,694 ", (1.77),,,,,,,,,,,,,
JSC,ETF,0.55%,$1.01,3.41%,$86.60 ,1.8," 13,477 ", 1.59 ,,,,,,,,,,,,,
PBD,ETF,0.75%,$0.04,1.24%,$85.70 ,7.2," 28,817 ", (1.44),,,,,,,,,,,,,
VTHR,ETF,0.15%,$0.33,1.55%,$85.40 ,1," 3,768 ", 0.94 ,,,,,,,,,,,,,
GHYG,ETF,0.40%,$0.29,5.15%,$85.20 ,1.6," 16,069 ", 0.51 ,,,,,,,,,,,,,
NORW,ETF,0.50%,$0.43,2.62%,$84.30 ,5.2," 31,308 ", (1.90),,,,,,,,,,,,,
JJG,ETN,0.75%,,,$83.00 ,1.9," 27,453 ", (1.20),,,,,,,,,,,,,
IQDF,ETF,0.47%,$0.16,1.04%,$82.90 ,3.1," 24,983 ", (1.14),,,,,,,,,,,,,
GUR,ETF,0.59%,$0.29,4.93%,$82.70 ,2.1," 13,738 ", (1.83),,,,,,,,,,,,,
FJP,ETF,0.80%,$0.10,1.38%,$82.00 ,1.8," 26,767 ", 1.59 ,,,,,,,,,,,,,
DGRW,ETF,0.28%,$0.04,0.70%,$81.60 ,3," 39,973 ", 0.96 ,,,,,,,,,,,,,
LWC,ETF,0.15%,$0.15,5.25%,$81.40 ,2.2," 22,547 ", 0.98 ,,,,,,,,,,,,,
BJK,ETF,0.65%,$0.52,0.99%,$81.30 ,1.6," 29,052 ", 1.49 ,,,,,,,,,,,,,
GRES,ETF,0.75%,$0.37,1.28%,$81.00 ,2.9," 16,166 ", (1.08),,,,,,,,,,,,,
TBX,ETF,0.95%,,,$81.00 ,2.4," 27,778 ", 0.56 ,,,,,,,,,,,,,
BSCK,ETF,0.24%,$0.04,2.83%,$79.80 ,3.9," 24,017 ", (0.47),,,,,,,,,,,,,
SMMU,ETF,0.35%,$0.01,0.63%,$78.40 ,1.6," 7,141 ", 0.19 ,,,,,,,,,,,,,
IDOG,ETF,0.50%,$0.21,0.73%,$78.20 ,2.7," 32,956 ", (1.07),,,,,,,,,,,,,
FDD,ETF,0.60%,$0.10,4.20%,$78.10 ,5.8," 77,028 ", 1.26 ,,,,,,,,,,,,,
CXA,ETF,0.20%,$0.05,5.06%,$77.70 ,3.5," 18,797 ", (0.88),,,,,,,,,,,,,
NLR,ETF,0.60%,$0.33,0.69%,$77.50 ,1.6," 4,483 ", 1.41 ,,,,,,,,,,,,,
RGI,ETF,0.50%,$0.23,1.48%,$77.50 ,1," 8,327 ", 1.08 ,,,,,,,,,,,,,
DRR,ETN,0.65%,,,$77.10 ,2," 4,276 ", (1.42),,,,,,,,,,,,,
FAN,ETF,0.60%,$0.02,0.94%,$76.10 ,6.8," 77,567 ", (1.99),,,,,,,,,,,,,
GII,ETF,0.59%,$0.74,5.29%,$75.50 ,1.7," 11,411 ", 1.39 ,,,,,,,,,,,,,
RJN,ETN,0.75%,,,$74.90 ,10.7," 36,627 ", 1.10 ,,,,,,,,,,,,,
MDYV,ETF,0.25%,$0.31,2.06%,$74.80 ,1," 6,083 ", 1.07 ,,,,,,,,,,,,,
FCAN,ETF,0.80%,$0.25,1.85%,$74.60 ,2.1," 19,367 ", (1.01),,,,,,,,,,,,,
JJA,ETN,0.75%,,,$74.60 ,1.6," 8,655 ", (0.93),,,,,,,,,,,,,
XTN,ETF,0.35%,$0.13,0.78%,$72.60 ,0.9," 15,984 ", 1.39 ,,,,,,,,,,,,,
LTPZ,ETF,0.20%,$0.05,1.45%,$72.50 ,1.3," 9,469 ", (1.23),,,,,,,,,,,,,
CURE,ETF,0.95%,$0.02,0.02%,$72.20 ,1.1," 40,111 ", 3.60 ,,,,,,,,,,,,,
MLN,ETF,0.24%,$0.06,4.35%,$71.90 ,4.1," 34,677 ", (0.53),,,,,,,,,,,,,
FNI,ETF,0.60%,$0.08,0.75%,$71.70 ,2.6," 11,292 ", 1.74 ,,,,,,,,,,,,,
BSJC,ETF,0.42%,$0.03,3.17%,$71.10 ,2.8," 9,757 ", 0.21 ,,,,,,,,,,,,,
VGLT,ETF,0.12%,$0.19,3.41%,$70.80 ,1.1," 15,938 ", (1.14),,,,,,,,,,,,,
NYC,ETF,0.25%,$0.53,2.17%,$70.70 ,0.8," 2,316 ", 0.93 ,,,,,,,,,,,,,
GSC,ETN,1.25%,,,$69.20 ,1.5," 20,217 ", 1.02 ,,,,,,,,,,,,,
RYF,ETF,0.50%,$0.14,2.12%,$69.20 ,1.8," 16,269 ", 1.21 ,,,,,,,,,,,,,
MLPA,ETF,0.45%,$0.21,5.67%,$69.00 ,4.3," 22,164 ", 0.89 ,,,,,,,,,,,,,
NY,ETF,0.20%,$0.50,2.10%,$67.60 ,0.8," 2,656 ", 0.89 ,,,,,,,,,,,,,
BOIL,Commodity Pool,0.95%,,,$67.40 ,1.6," 236,070 ", 5.12 ,,,,,,,,,,,,,
GAF,ETF,0.59%,$1.33,4.34%,$67.00 ,1," 3,128 ", (2.22),,,,,,,,,,,,,
CQQQ,ETF,0.70%,$0.43,1.24%,$66.80 ,2," 41,786 ", 1.99 ,,,,,,,,,,,,,
MUAC,ETF,0.30%,$0.03,0.64%,$66.80 ,1.3," 8,800 ", (0.19),,,,,,,,,,,,,
ZIV,ETN,1.35%,,,$66.30 ,1.7," 88,448 ", 2.11 ,,,,,,,,,,,,,
AXJL,ETF,0.48%,$0.75,3.35%,$65.90 ,1," 4,111 ", (1.48),,,,,,,,,,,,,
USL,Commodity Pool,0.60%,,,$64.80 ,1.5," 13,130 ", 1.01 ,,,,,,,,,,,,,
UDN,Commodity Pool,0.50%,$0.40,,$64.70 ,2.4," 22,573 ", 0.46 ,,,,,,,,,,,,,
FDV,ETF,0.65%,$0.08,1.76%,$64.50 ,2.2," 3,752 ", 1.08 ,,,,,,,,,,,,,
KBWY,ETF,0.35%,$0.12,4.84%,$64.00 ,2.2," 19,220 ", (1.47),,,,,,,,,,,,,
DJCI,ETN,0.50%,,,$63.70 ,2.7," 8,213 ", 0.91 ,,,,,,,,,,,,,
CRBQ,ETF,0.65%,$0.20,1.92%,$63.30 ,1.5," 7,287 ", 1.17 ,,,,,,,,,,,,,
HYXU,ETF,0.40%,$0.35,4.78%,$63.10 ,1.1," 13,195 ", 0.70 ,,,,,,,,,,,,,
TYO,ETF,0.95%,$5.17,12.27%,$63.10 ,2.5," 13,217 ", 1.72 ,,,,,,,,,,,,,
XHS,ETF,0.35%,$0.29,3.29%,$62.90 ,0.7," 6,267 ", 1.28 ,,,,,,,,,,,,,
GAL,ETF,0.35%,$0.11,2.51%,$62.60 ,1.9," 21,711 ", 0.84 ,,,,,,,,,,,,,
SBND,ETN,0.95%,,,$62.10 ,5.9," 37,431 ", 3.43 ,,,,,,,,,,,,,
TWOK,ETF,0.18%,$0.33,0.69%,$62.00 ,0.9," 19,155 ", 1.47 ,,,,,,,,,,,,,
NOBL,ETF,0.35%,,,$61.70 ,1.4,, 1.03 ,,,,,,,,,,,,,
DGZ,ETN,0.75%,,,$61.50 ,3.9," 223,536 ", 1.80 ,,,,,,,,,,,,,
DLBS,ETN,0.75%,,,$61.10 ,1.7," 18,889 ", 2.25 ,,,,,,,,,,,,,
DNL,ETF,0.60%,$0.27,2.51%,$60.60 ,1.2," 8,197 ", 1.03 ,,,,,,,,,,,,,
ERY,ETF,0.95%,,,$60.40 ,3," 469,167 ", (3.56),,,,,,,,,,,,,
IRY,ETF,0.50%,$0.12,2.09%,$60.10 ,1.4," 8,045 ", 1.11 ,,,,,,,,,,,,,
VTWV,ETF,0.32%,$1.22,1.42%,$60.10 ,0.7," 3,880 ", 1.29 ,,,,,,,,,,,,,
HYHG,ETF,0.50%,$0.33,2.68%,$59.70 ,0.8," 13,212 ", 0.50 ,,,,,,,,,,,,,
PSCC,ETF,0.29%,$0.14,0.42%,$59.60 ,1.2," 13,992 ", 1.56 ,,,,,,,,,,,,,
MIDU,ETF,0.95%,$2.95,4.36%,$59.00 ,0.8," 59,803 ", 3.78 ,,,,,,,,,,,,,
CSMA,ETN,0.55%,,,$58.60 ,2.8," 4,300 ", 1.02 ,,,,,,,,,,,,,
PSJ,ETF,0.60%,,,$57.90 ,1.6," 6,102 ", 1.42 ,,,,,,,,,,,,,
UGA,Commodity Pool,0.60%,,,$57.40 ,1," 22,509 ", 1.98 ,,,,,,,,,,,,,
CNY,ETN,0.55%,,,$57.30 ,1.3," 3,795 ", 0.43 ,,,,,,,,,,,,,
EAPS,ETF,0.55%,$0.40,2.10%,$57.20 ,2," 10,639 ", 1.65 ,,,,,,,,,,,,,
IBCD,ETF,0.10%,$0.16,1.16%,$57.20 ,0.6," 1,573 ", (0.37),,,,,,,,,,,,,
SOXL,ETF,0.95%,$0.01,0.03%,$56.90 ,0.9," 81,308 ", 3.88 ,,,,,,,,,,,,,
FPA,ETF,0.80%,$0.18,2.61%,$56.70 ,2.1," 28,481 ", (1.57),,,,,,,,,,,,,
VIXM,Commodity Pool,0.85%,,,$56.60 ,2.9," 121,048 ", (2.32),,,,,,,,,,,,,
GXF,ETF,0.50%,$0.50,2.07%,$56.50 ,2.4," 10,592 ", 1.43 ,,,,,,,,,,,,,
RSU,ETF,0.70%,$0.19,0.92%,$56.10 ,0.9," 13,928 ", 1.85 ,,,,,,,,,,,,,
GML,ETF,0.59%,$0.70,3.60%,$56.00 ,0.9," 5,795 ", (1.87),,,,,,,,,,,,,
DIV,ETF,0.45%,$0.13,4.89%,$55.70 ,2.2," 22,303 ", 0.92 ,,,,,,,,,,,,,
ZROZ,ETF,0.15%,$0.74,4.09%,$55.50 ,0.7," 30,783 ", (2.20),,,,,,,,,,,,,
RALS,ETF,0.95%,$0.07,1.24%,$55.40 ,1.3," 15,577 ", 0.43 ,,,,,,,,,,,,,
